12.956894,77.701093,0,1,15
12.956894,77.701093,0,10,50
12.956894,77.701093,0,11,50
12.956894,77.701093,0,11,52
12.956894,77.701093,0,11,44
12.956894,77.701093,0,11,48
12.956894,77.701093,0,13,41
12.956894,77.701093,0,13,48
12.956894,77.701093,0,15,50
12.956894,77.701093,0,17,80
12.956894,77.701093,0,18,80
12.956894,77.701093,0,19,60
12.956894,77.701093,0,19,50
12.956894,77.701093,0,21,35
12.956894,77.701093,0,21,36
12.956894,77.701093,0,22,20
12.956894,77.701093,0,4,15
12.956894,77.701093,0,6,21
12.956894,77.701093,0,6,21
12.956894,77.701093,0,7,30
12.956894,77.701093,0,7,32
12.956894,77.701093,0,8,34
12.956894,77.701093,0,8,39
12.956894,77.701093,0,8,39
12.956894,77.701093,1,1,15
12.956894,77.701093,1,10,60
12.956894,77.701093,1,10,64
12.956894,77.701093,1,10,65
12.956894,77.701093,1,12,40
12.956894,77.701093,1,12,48
12.956894,77.701093,1,13,32
12.956894,77.701093,1,14,32
12.956894,77.701093,1,15,30
12.956894,77.701093,1,15,34
12.956894,77.701093,1,17,52
12.956894,77.701093,1,17,57
12.956894,77.701093,1,18,60
12.956894,77.701093,1,18,63
12.956894,77.701093,1,19,64
12.956894,77.701093,1,19,66
12.956894,77.701093,1,19,67
12.956894,77.701093,1,19,68
12.956894,77.701093,1,2,15
12.956894,77.701093,1,21,41
12.956894,77.701093,1,21,44
12.956894,77.701093,1,21,48
12.956894,77.701093,1,21,48
12.956894,77.701093,1,21,49
12.956894,77.701093,1,22,38
12.956894,77.701093,1,22,39
12.956894,77.701093,1,22,39
12.956894,77.701093,1,4,15
12.956894,77.701093,1,5,15
12.956894,77.701093,1,6,30
12.956894,77.701093,1,6,33
12.956894,77.701093,1,6,39
12.956894,77.701093,1,9,58
12.956894,77.701093,2,0,40
12.956894,77.701093,2,1,14
12.956894,77.701093,2,1,18
12.956894,77.701093,2,10,70
12.956894,77.701093,2,10,75
12.956894,77.701093,2,10,79
12.956894,77.701093,2,11,67
12.956894,77.701093,2,13,47
12.956894,77.701093,2,13,47
12.956894,77.701093,2,17,68
12.956894,77.701093,2,18,73
12.956894,77.701093,2,19,75
12.956894,77.701093,2,20,66
12.956894,77.701093,2,21,57
12.956894,77.701093,2,4,18
12.956894,77.701093,2,5,12
12.956894,77.701093,2,7,62
12.956894,77.701093,2,9,60
12.956894,77.701093,2,9,67
12.956894,77.701093,3,0,47
12.956894,77.701093,3,10,88
12.956894,77.701093,3,11,70
12.956894,77.701093,3,11,71
12.956894,77.701093,3,12,67
12.956894,77.701093,3,13,52
12.956894,77.701093,3,14,57
12.956894,77.701093,3,15,55
12.956894,77.701093,3,16,64
12.956894,77.701093,3,16,67
12.956894,77.701093,3,17,73
12.956894,77.701093,3,17,77
12.956894,77.701093,3,20,72
12.956894,77.701093,3,22,51
12.956894,77.701093,3,22,59
12.956894,77.701093,3,5,16
12.956894,77.701093,3,6,31
12.956894,77.701093,3,7,60
12.956894,77.701093,3,8,66
12.956894,77.701093,3,9,72
12.956894,77.701093,3,9,78
12.956894,77.701093,4,0,56
12.956894,77.701093,4,10,90
12.956894,77.701093,4,10,91
12.956894,77.701093,4,10,97
12.956894,77.701093,4,12,76
12.956894,77.701093,4,17,80
12.956894,77.701093,4,17,81
12.956894,77.701093,4,18,95
12.956894,77.701093,4,19,98
12.956894,77.701093,4,2,12
12.956894,77.701093,4,20,82
12.956894,77.701093,4,20,83
12.956894,77.701093,4,20,85
12.956894,77.701093,4,21,73
12.956894,77.701093,4,22,67
12.956894,77.701093,4,3,13
12.956894,77.701093,4,4,12
12.956894,77.701093,4,6,35
12.956894,77.701093,4,7,70
12.956894,77.701093,4,8,73
12.956894,77.701093,4,8,76
12.956894,77.701093,4,9,80
12.956894,77.701093,5,1,12
12.956894,77.701093,5,10,76
12.956894,77.701093,5,11,61
12.956894,77.701093,5,11,68
12.956894,77.701093,5,13,42
12.956894,77.701093,5,15,42
12.956894,77.701093,5,15,44
12.956894,77.701093,5,17,64
12.956894,77.701093,5,2,12
12.956894,77.701093,5,21,52
12.956894,77.701093,5,5,12
12.956894,77.701093,5,5,18
12.956894,77.701093,5,9,62
12.956894,77.701093,5,9,64
12.956894,77.701093,5,9,65
12.956894,77.701093,6,0,23
12.956894,77.701093,6,0,24
12.956894,77.701093,6,12,30
12.956894,77.701093,6,13,29
12.956894,77.701093,6,14,22
12.956894,77.701093,6,14,29
12.956894,77.701093,6,15,26
12.956894,77.701093,6,16,34
12.956894,77.701093,6,16,35
12.956894,77.701093,6,17,48
12.956894,77.701093,6,19,55
12.956894,77.701093,6,2,10
12.956894,77.701093,6,20,45
12.956894,77.701093,6,21,31
12.956894,77.701093,6,21,35
12.956894,77.701093,6,21,35
12.956894,77.701093,6,22,25
12.956894,77.701093,6,3,12
12.956894,77.701093,6,4,18
12.956894,77.701093,6,5,17
12.956894,77.701093,6,5,19
12.956894,77.701093,6,5,20
12.956894,77.701093,6,6,22
12.956894,77.701093,6,7,25
12.956894,77.701093,6,7,25
